Administration of high doses of glycyrrhizin,pseudoaldosteronism,Administration of high doses of glycyrrhizin causes pseudoaldosteronism that may leads to several adverse effects.
Administration of high doses of glycyrrhizin,pseudoaldosteronism,Administration of high doses of glycyrrhizin causes pseudoaldosteronism that may leads to several adverse effects.
A number of inhibitory molecules,their secreted products,A number of inhibitory molecules have been associated with  activated astrocytes and their secreted products such as  proteoglycans and Tenascin-C.
Actin modifications at the cell surface,membrane ruffling and macropinosome internalization,"Actin modifications at the cell surface then cause membrane ruffling and macropinosome internalization, in addition to filopodia that can facilitate spike proteinreceptor interactions with neighboring cells."
Activation of microthrombotic pathway,much more deadly septic syndromes via generalized EA-VMTD/DIT,Activation of microthrombotic pathway causes much more deadly septic syndromes via generalized EA-VMTD/DIT.
Acute ethanol administration,prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity,"Acute ethanol administration caused prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity, induced a significant decrease in hepatic glutathione in conjunction with enhanced lipid peroxidation (oxidative stress) and increased hepatic TNF (necrosis factor-alpha) production."
Diabetes,increased risk of death or treatment failure in TB,"Diabetes is associated with a threefold increased risk of developing TB, and increased risk of death or treatment failure in TB."
adverse events,the dropout rates,A comparison between the dropout rates caused by adverse events will be undertaken using the Pearson's 2 test.
A greater infecting dose,a shorter incubation period,A greater infecting dose may be associated with a shorter incubation period and increased severity.
A greater infecting dose,increased severity,A greater infecting dose may be associated with a shorter incubation period and increased severity.
A higher R 0 value of 1.8,smaller reduction in the attack rate,A higher R 0 value of 1.8 is associated with an even smaller reduction in the attack rate.
a patient,An effective number of direct infections,An effective number of direct infections caused by a patient X i contribution (0 or 1) to by A i.
A number of inhibitory molecules,activated astrocytes and their secreted products,A number of inhibitory molecules have been associated with  activated astrocytes and their secreted products such as  proteoglycans and Tenascin-C.
A number of inhibitory molecules,proteoglycans,A number of inhibitory molecules have been associated with  activated astrocytes and their secreted products such as  proteoglycans and Tenascin-C.
A number of inhibitory molecules,Tenascin-C,A number of inhibitory molecules have been associated with  activated astrocytes and their secreted products such as  proteoglycans and Tenascin-C.
A one-base deletion,a frame-shift mutation in ORF10 of ZXC21,A one-base deletion caused a frame-shift mutation in ORF10 of ZXC21
a shortened survival in classical Hodgkin's lymphoma patients,an increased number of TAM,A recent experiment showed that  an increased number of TAM was strongly associated with a shortened survival in classical Hodgkin's lymphoma patients.
an apparently new species of EBOV in Uganda,A recent outbreak,A recent outbreak caused by an apparently new species of EBOV in Uganda appears to be less pathogenic than SEBOV or ZEBOV with a preliminary case fatality rate of about 25%.
early tracheostomy,a reduction of mechanical ventilation duration,"A recent systematic review suggested that early tracheostomy, performed in the first 7 days after orotracheal intubation, is associated with a reduction of mechanical ventilation duration, mortality rate and length of stay in ICU irrespective of reason for admission."
early tracheostomy,mortality rate,"A recent systematic review suggested that early tracheostomy, performed in the first 7 days after orotracheal intubation, is associated with a reduction of mechanical ventilation duration, mortality rate and length of stay in ICU irrespective of reason for admission."
early tracheostomy,length of stay in ICU,"A recent systematic review suggested that early tracheostomy, performed in the first 7 days after orotracheal intubation, is associated with a reduction of mechanical ventilation duration, mortality rate and length of stay in ICU irrespective of reason for admission."
