a pathological ifnar signaling,pancreas injury,"Mice treated with PERK inhibitor showed pancreas injury, which was due to a pathological IFNAR signaling.","['y,noun,relcl,be', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
amino acid sequence mutations in the new variant strains,immunization failure of commercial vaccines,"Moreover,  amino acid sequence mutations in the new variant strains will cause  immunization failure of commercial vaccines.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
activation of a vegfr2-dependent signaling pathway,phosphorylation of the ve-cadherin,"Moreover, activation of a VEGFR2-dependent signaling pathway causes phosphorylation of the VE-cadherin, with subsequent betaarrestin-dependent endocytosis of VE-cadherin and disassembly of EC-EC junctions.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
early-life dysbiosis,adult-onset lung fibrosis,"Moreover, early-life dysbiosis was associated with adult-onset lung fibrosis.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
bacterial or viral respiratory infections,most ae-copd cases,Most AE-COPD cases are attributed to bacterial or viral respiratory infections and to both types of microorganisms together.,"['attribute,verb,nsubjpass,y', 'attribute,verb,prep,to', 'to,adp,pobj,x']"
both types of microorganisms,most ae-copd cases,Most AE-COPD cases are attributed to bacterial or viral respiratory infections and to both types of microorganisms together.,"['attribute,verb,nsubjpass,y', 'attribute,verb,prep,to', 'to,adp,pobj,x']"
the virus on cns cells,abnormal neurologic function,"Mostly, abnormal neurologic function is the result of a direct effect of the virus on CNS cells.","['be,aux,nsubj,y', 'be,aux,attr,the result', 'the result,noun,prep,of', 'of,adp,pobj,x']"
multidrug resistance,an atp-dependent decrease in cellular drug accumulation,Multidrug resistance is often associated with an ATP-dependent decrease in cellular drug accumulation with the overexpression of certain ATP-binding cassette transporter proteins (ABC) in tumor cells.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
multidrug resistance,the overexpression of certain atp-binding cassette transporter proteins,Multidrug resistance is often associated with an ATP-dependent decrease in cellular drug accumulation with the overexpression of certain ATP-binding cassette transporter proteins (ABC) in tumor cells.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a single infected environmental agent,host infections,"Namely, there is the reproductive ratio associated with the number of secondary host infections caused by a single infected environmental agent, and there is the reproductive ratio associated with the number of secondary environmental agent infections caused by a single infected host.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a single infected host,environmental agent infections,"Namely, there is the reproductive ratio associated with the number of secondary host infections caused by a single infected environmental agent, and there is the reproductive ratio associated with the number of secondary environmental agent infections caused by a single infected host.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
acid,the t elevation,Neither Infasurf nor SRB reduces the T elevation caused by acid or mucins.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
acid or mucins,acid,Neither Infasurf nor SRB reduces the T elevation caused by acid or mucins.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a wide range of microorganisms,diseases,"Nevertheless, diseases produced by a wide range of microorganisms, from viruses to metazoan parasites, can result in  large economical losses.","['y,noun,acl,produce', 'produce,verb,agent,by', 'by,adp,pobj,x']"
viruses to metazoan parasites,a wide range of microorganisms,"Nevertheless, diseases produced by a wide range of microorganisms, from viruses to metazoan parasites, can result in  large economical losses.","['y,noun,prep,from', 'from,adp,pobj,x']"
members of the phylum proteobacteria,airway disease,"Nevertheless, members of the phylum Proteobacteria (which includes Haemophilus and Moraxella spp.) were strongly associated with airway disease (COPD and asthma) in adults and children (150) .","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a single infected individual in the susceptible population,the average number of new infections,"Non-contact transmission and basic reproduction number Basic reproduction number (R 0 ), which is usually defined as the average number of new infections caused by a single infected individual in the susceptible population, depends on the transmission routes and rates.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
acute thoracolumbar intervertebral disc herniation,minimal for dogs with absent pelvic limb deep-pain perception,Non-invasive prognostic indicators are minimal for dogs with absent pelvic limb deep-pain perception resulting from acute thoracolumbar intervertebral disc herniation.,"['y,noun,acl,result', 'result,verb,prep,from', 'from,adp,pobj,x']"
a peptidyl-trna slippage,the error in reading frame maintenance,"Note, in all cases explained above, the error in reading frame maintenance is due to a peptidyl-tRNA slippage.","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
a viral infection,novel coronavirus,Novel coronavirus is caused by a viral infection.,"['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a variety of salmonella species,salmonella infection,"On the other hand, Salmonella infection caused by a variety of Salmonella species is one of the most important bacterial diseases in poultry causing heavy economic losses through mortality and reduced production.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
an introduced case,a large outbreak,"Once we had estimated R t , we used a branching process with a negative binomial offspring distribution to calculate the probability an introduced case would cause a large outbreak.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
acute infections,was the most comparatively  prone to microbial attacks,"One of the smallest groups in this study, mixed asthma, was the most comparatively  prone to microbial attacks caused by acute infections.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
administration of corticosteroids,a common orthopaedic problem,osteonecrosis; pathophysiology; prevention; steroid; treatment Summary Steroid-associated osteonecrosis (SAON) is a common orthopaedic problem caused by administration of corticosteroids prescribed for many nonorthopaedic medical conditions.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
